user_input,response,reference,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness,factual_mismatch,answerable
Cosa mi serve per inserire i dati di valutazione del Benessere Animale e della Biosicurezza tramite app?,"Per inserire i dati di valutazione del Benessere Animale e della Biosicurezza tramite l'app ClassyFarm 2.0, hai bisogno di:

1. **Credenziali VETINFO**: Puoi ottenerle visitando il sito [www.vetinfo.it](http://www.vetinfo.it).
2. **Iscrizione all'Elenco Pubblico Nazionale dei Veterinari Aziendali**: Necessaria per i Veterinari Aziendali.
3. **Documenti essenziali**: 
   - Documento di identità personale del veterinario.
   - Documento di identità dell'allevatore.
   - Modulo di richiesta di associazione all'operatore, compilato e firmato da entrambi (disponibile su [www.classyfarm.it](http://www.classyfarm.it)).

Assicurati di avere tutti i documenti pronti prima di iniziare il processo di associazione.

⏰ **Nota Temporale**: 16/07/2020","Prima di inserire i dati di valutazione, sia per il medico veterinario aziendale sia per il medico veterinario incaricato è necessario avere a disposizione, in formato foto o scansione, il documento di identità, il documento di identità dell’allevatore e il modulo di richiesta di associazione all’operatore compilato e firmato da veterinario e allevatore. Sono disponibili due moduli distinti, uno per il veterinario aziendale e uno per il veterinario incaricato.",0.8889,0.6168,0.9821,1.0,0.3643,OK,True
Come faccio ad associarmi all’allevamento?,"Per associarti all'allevamento nel sistema integrato «ClassyFarm», segui questi passaggi:

1. Accedi a ClassyFarm e seleziona l'opzione «Selezione Azienda».
2. Clicca sul pulsante «Nuovo Allevamento».
3. Inserisci il codice dell'allevamento e poi clicca su «Verifica».
4. Seleziona l'allevamento da associare.
5. Scegli le tipologie di questionario che desideri compilare tramite il menu a tendina.
6. Carica i documenti richiesti, che includono:
   - Il documento di identità del veterinario.
   - Il documento di identità dell'allevatore.
   - Il modulo di autorizzazione, noto come «Modulo di richiesta di associazione» (scaricabile dal link fornito).
7. Clicca sul pulsante «Conferma» in fondo alla pagina per finalizzare il processo di associazione.

Assicurati di utilizzare file in formato PDF per i documenti caricati e di selezionare tutte le checklist disponibili nel menu a tendina.","Per associarsi all’allevamento, una volta selezionato il ruolo bisogna cliccare su ""Seleziona azienda"", poi su ""Nuovo allevamento"", inserire il codice aziendale e cliccare su ""Verifica"". Solo per il veterinario incaricato è necessario selezionare la checklist che verrà compilata per l’allevamento selezionato. Infine si caricano i documenti richiesti (documento di identità, documento di identità dell’allevatore, modulo di autorizzazione) e si clicca su ""Conferma"".",1.0,0.7269,1.0,1.0,0.8401,OK,True
"Perché se clicco su ""Visualizza"" in una bozza non me lo fa modificare?","Dopo 48 ore, sarà possibile accedere al cruscotto interattivo: selezionare ""Dashboard"".","Se si clicca sul pulsante ""Visualizza"" quando è selezionata una bozza, il sistema permette solo di visualizzare il questionario senza poter apportare modifiche. Per completare o modificare il questionario o la checklist, dopo aver selezionato la bozza di interesse, è necessario cliccare su ""Modifica"".",1.0,0.3355,1.0,1.0,0.1012,OK,True
"Cosa vogliono dire Q1, Q2, Q3, Q4 nei cruscotti?","Il contesto documentale non fornisce informazioni specifiche su cosa significhino Q1, Q2, Q3 e Q4 nei cruscotti. Tuttavia, è possibile consultare la guida ai cruscotti interattivi per ulteriori dettagli. Puoi trovare la guida completa al seguente link: [GUIDA AI CRUSCOTTI INTERATTIVI](www.classyfarm.it).","Q1, Q2, Q3 e Q4 rappresentano i quartili in cui vengono raggruppati gli allevamenti. Gli allevamenti vengono ordinati in funzione del punteggio ottenuto, i quartili sono rappresentati da intensità di blu diverse e, in statistica, sono valori che dividono una distribuzione ordinata in quattro parti uguali. ClassyFarm li usa per semplificare la lettura dei dati.",1.0,0.0,,0.0,0.1323,OK,True
"Cosa mi dice ""Sintesi risposte"" nel cruscotto?","Dopo 48 ore, sarà possibile accedere al cruscotto interattivo: selezionare ""Dashboard"".","Cliccando su ""Analisi risposte"" nella consultazione di un cruscotto compare il grafico relativo alla distribuzione delle risposte ai questionari per gli allevamenti selezionati.",1.0,0.5399,0.0,0.0,0.1103,OK,True
Che codice devo inserire per poter compilare un controllo di farmacosorveglianza?,"Per compilare un controllo di farmacosorveglianza, devi inserire il codice aziendale BDN (es. 000XY000) e cliccare su «cerca». Se non visualizzi alcun risultato, contatta l'assistenza inviando un'email a [[EMAIL_RIMOSSO]](mailto:[EMAIL_RIMOSSO]).","Per compilare un controllo di farmacosorveglianza è necessario inserire il codice azienda BDN. Dopo aver inserito il codice si clicca su ""Cerca"" per poter scegliere l’allevamento corrispondente.",0.8,0.7787,,1.0,0.5956,OK,True
Come faccio a modificare la data delle prescrizioni in un controllo già compilato?,"Per modificare la data delle prescrizioni in un controllo già compilato, segui questi passaggi:

1. Utilizza la funzione ""Copia"": clicca sul pulsante ""Copia"" e attendi che venga creata una copia identica del controllo con tutte le risposte già fornite per quell'azienda.
2. Apporta le modifiche necessarie, inclusa la modifica della data delle prescrizioni.
3. Giustifica la variazione nei campi di testo appositi, spiegando il motivo della modifica.
4. Carica il nuovo controllo.

Assicurati di seguire queste istruzioni per garantire che le modifiche siano registrate correttamente.","Per modificare la data delle prescrizioni in un controllo già compilato bisogna utilizzare la funzione ""Copia"": si clicca sul relativo pulsante e si attende la creazione di una copia del controllo con tutte le risposte già fornite, si effettuano le variazioni necessarie, si giustifica nei campi testo il motivo della variazione e si carica il nuovo controllo.",0.9091,0.9843,,1.0,0.7579,OK,True
"Sto creando un questionario, ho inserito il codice dell’allevamento e ho cliccato ""Cerca"": cosa devo fare per continuare?","Dopo aver inserito il codice dell’allevamento e cliccato ""Cerca"", devi attendere il caricamento della schermata successiva e poi fare clic sull'icona a forma di occhio per visualizzare i dettagli dell'allevamento. Da lì, puoi procedere con la compilazione del questionario.

⏰ **Nota Temporale**: 48 ore","Dopo aver inserito il codice allevamento nell’apposita sezione e aver cliccato ""Cerca"", bisogna attendere il caricamento della schermata successiva, premere sull’icona a forma di occhio, attendere che la testa del questionario si compili automaticamente, procedere alla compilazione dei soli dati segnati in rosso e infine cliccare su ""Crea questionario"".",0.75,0.6748,0.875,0.25,0.6634,OK,True
Perché non riesco a eliminare un questionario che ho creato?,"Non riesci a eliminare un questionario che hai creato perché l'opzione di eliminazione è disponibile solo per i questionari che non sono stati ancora caricati e che non sono stati completati. Se il questionario è già stato caricato o completato, non potrai procedere con la cancellazione. Assicurati di controllare lo stato del questionario per determinare se è possibile eliminarlo.","Per eliminare un questionario è necessario cliccare su ""Azioni"" e poi ""Cancella"". In alcuni casi, prima di poter cancellare il questionario, è necessario modificare una delle risposte e salvare le modifiche: per farlo si clicca sul questionario di interesse nell’elenco, poi su ""Azioni"" e infine su ""Modifica"".",0.8333,1.0,0.9056,1.0,0.192,OK,True
Quali sono considerati principi attivi critici nell’ambito della DDDAit?,"I principi attivi critici nell'ambito della Dose Giornaliera Definita per gli Animali in Italia (DDDAit) sono sostanze antimicrobiche di fondamentale importanza per la medicina umana, classificate come ""di importanza critica"" dall'Organizzazione Mondiale della Sanità (OMS) e dall'Agenzia Europea per i Medicinali (EMA). Questi principi attivi richiedono un monitoraggio prioritario per preservare la loro efficacia e combattere l'antibiotico-resistenza. Attualmente, non esistono indicazioni univoche per la loro classificazione, e le linee guida possono variare tra le diverse agenzie.","Non sono disponibili indicazioni univoche per la classificazione delle molecole critiche e le linee guida delle agenzie nazionali e internazionali possono divergere. ClassyFarm adotta i seguenti criteri: i principi attivi sono critici quando fanno parte di una classe di antimicrobici che soddisfa due condizioni, essere classificata dall’OMS come HP-CIA e dall’EMA come categoria 2. I consumi di principi attivi sono considerati critici quando le molecole somministrate appartengono alle seguenti classi: cefalosporine di III e IV generazione, fluorchinoloni, polimixine.",1.0,0.0,,0.6667,0.2815,OK,True
Per cosa sta BDN?,"BDN sta per Banca Dati Nazionale. È un sistema informativo nazionale che raccoglie i dati anagrafici e produttivi degli allevamenti, fornendo informazioni sulla biomassa animale utilizzate per i calcoli delle DDDAit e DCDAit.",BDN sta per Banca dati nazionale.,1.0,0.7971,,1.0,0.4468,OK,True
Quali sono le aree in cui vengono divisi gli elementi di valutazione della check-list ufficiale?,"Gli elementi di valutazione della check-list ufficiale sono divisi in diverse aree, denominate A, B e C. Queste aree si riferiscono a indicazioni normative cogenti e sono utilizzate per verificare la conformità o la non conformità rispetto ai requisiti stabiliti dalla normativa vigente.",Gli elementi di valutazione della check-list ufficiale sono suddivisi nelle seguenti aree: Area A. Management aziendale; Area B. Strutture ed attrezzature; Area Grandi rischi e sistemi di allarme; Area C. Animal-based measures.,1.0,0.8851,0.4635,1.0,0.5766,OK,True
Perché i liquami rappresentano una fonte di rischio?,"I liquami rappresentano una significativa fonte di rischio per la diffusione di agenti patogeni all'interno degli allevamenti. Il contatto, sia diretto che indiretto, con liquami provenienti da altre aziende può facilitare la trasmissione di malattie tra allevamenti, anche in assenza di movimentazione di animali. Pertanto, lo spargimento di liquami di aziende terze nelle vicinanze dell'allevamento deve essere evitato per garantire la biosicurezza. È fondamentale valutare la prossimità dei terreni non di proprietà dell'allevamento e accertarsi che in essi non vengano smaltiti liquami di altre aziende suinicole.",I liquami rappresentano una rilevante fonte di rischio per la diffusione degli agenti patogeni all’interno dell’allevamento. Il contatto diretto o indiretto con liquami provenienti da altre aziende può favorire la trasmissione di malattie tra allevamenti anche senza la movimentazione di animali.,1.0,0.7819,,1.0,0.7777,OK,True
In caso di soccida chi può fare richiesta di abilitazione con il ruolo di Operatore?,"In caso di soccida, la richiesta di abilitazione con il ruolo di Operatore può essere effettuata dall'allevatore soccidario (affidatario dei suini) e dal soccidante (proprietario dei suini). È fondamentale che tutti gli operatori coinvolti nella gestione degli animali ricevano istruzioni pratiche riguardanti la gestione e il benessere degli animali.

Per effettuare la richiesta di abilitazione al sistema ClassyFarm, è necessario inviare un'e-mail contenente i dati richiesti all'indirizzo [[EMAIL_RIMOSSO]](mailto:[EMAIL_RIMOSSO]) e seguire le istruzioni disponibili sul sito [www.classyfarm.it](http://www.classyfarm.it).",Può fare richiesta di abilitazione come Operatore colui che ai sensi del Reg 429/2016 risulti Operatore ovvero legale rappresentante/proprietario/dententore della Azienda. Se non siete Operatori è possibile procedere con la richiesta di abilitazione come Delegato da uno/più operatore/i.,0.7143,0.6868,0.7862,1.0,0.3944,OK,True
Quale partita IVA deve essere indicata?,Il contesto documentale recuperato non fornisce informazioni specifiche riguardo alla partita IVA da indicare. Ti consiglio di consultare direttamente la documentazione pertinente o contattare un esperto in materia fiscale per ottenere indicazioni precise.,La partita IVA da indicare è quella associata al proprietario in BDN.,0.0,0.0,0.0,0.0,0.1609,OK,True
Come faccio ad associare il mio veterinario?,"Per associare il tuo veterinario all'allevamento tramite il sistema integrato «ClassyFarm», segui questi passaggi:

1. **Preparazione dei Documenti**: Assicurati di avere a disposizione i seguenti documenti:
   - Documento di identità personale del veterinario.
   - Documento di identità dell'allevatore.
   - Modulo di richiesta di associazione all'operatore (noto anche come ""Modulo di autorizzazione""), che deve essere compilato in tutte le sue parti e firmato sia dal veterinario che dall'allevatore. Questo modulo è disponibile per il download sul sito www.classyfarm.it.

2. **Accesso a ClassyFarm**: Accedi al sistema ClassyFarm.

3. **Selezione dell'Azienda**: Seleziona l'opzione ""Selezione Azienda"".

4. **Nuovo Allevamento**: Clicca sul pulsante ""Nuovo Allevamento"".

5. **Inserimento del Codice**: Inserisci il codice dell'allevamento e clicca sul pulsante ""Verifica"" per selezionare l'allevamento da associare.

6. **Scelta del Questionario**: Scegli le tipologie di questionario che desideri compilare tramite il menu a tendina.

7. **Caricamento dei Documenti**: Carica i documenti richiesti. Si consiglia di utilizzare file in formato PDF.

8. **Conferma**: Clicca sul pulsante ""Conferma"" in fondo alla pagina per finalizzare il processo di associazione.

Ricorda che esistono due moduli di associazione distinti: uno per il Medico Veterinario Aziendale e uno per il Medico Veterinario Incaricato. Assicurati di utilizzare il modulo corretto in base al tuo ruolo.","Entrando in ClassyFarm nella sezione ""Seleziona Veterinario Aziendale"" è possibile associare il proprio veterinario, a condizione che lo stesso sia stato abilitato in ClassyFarm.",0.4667,0.645,1.0,0.0,0.3608,OK,True
Qual è l’email del Ministero a cui inviare le deleghe?,L'email del Ministero a cui inviare le deleghe è [mailto:[EMAIL_RIMOSSO]](mailto:[EMAIL_RIMOSSO]).,Le deleghe e i documenti di identità devono essere inviati al Ministero della Salute sanita.animale@sanita.it e in copia conoscenza a info@classyfarm.it (nella stessa email).,0.0,0.9792,0.625,1.0,0.3869,EMAIL_MISMATCH,True
Quanto tempo dovrò attendere per l’abilitazione?,Dai documenti: 26/04/2022.,"Generalmente le richieste di abilitazione vengono elaborate in due giorni lavorativi, al termine della procedura viene inviata una notifica con l’esito dell’abilitazione stessa.",0.0,0.1421,0.6389,0.0,0.1065,OK,True
"Ho ricevuto l’e-mail di avvenuta abilitazione ma non la password, potete inviarmela?","Gentile utente,

per ricevere la password dopo aver ricevuto l'email di avvenuta abilitazione, ti consigliamo di contattare direttamente il servizio di assistenza di ClassyFarm. Puoi inviare un'email all'indirizzo [[EMAIL_RIMOSSO]](mailto:[EMAIL_RIMOSSO]) per richiedere assistenza.

Grazie per aver scelto ClassyFarm!

⏰ **Nota Temporale**: 21 giorni","Le credenziali di accesso al sistema ClassyFarm sono le stesse che vengono utilizzate per entrare in Vetinfo. È sempre possibile recuperare le proprie credenziali nella pagina di Vetinfo tramite il tasto ""Non ricordo le mie credenziali"" o accedere con SPID o CIE.",0.1667,0.0,0.0,0.0,0.5339,OK,True
Vorrei informazioni riguardo i contributi PAC?,"I contributi della Politica Agricola Comune (PAC) sono legati a diversi interventi e condizioni di ammissibilità per gli agricoltori. In particolare, per accedere ai pagamenti, è necessario che gli allevamenti rispettino determinati requisiti, come la registrazione nel sistema ClassyFarm entro il 31 dicembre 2023. 

Gli aiuti possono essere concessi per allevamenti di bovini, suini, ovini e caprini, e sono soggetti a controlli basati su dati provenienti dalla Banca Dati Nazionale (BDN) e dal sistema ClassyFarm. È importante notare che gli importi unitari per i pagamenti sono stabiliti annualmente e dipendono dal numero di Unità di Base Agricole (UBA) ammissibili.

Per ulteriori dettagli, puoi consultare la Circolare AGEA.2024.2664 del 12.01.24, che fornisce informazioni specifiche sui requisiti e le procedure per l'accesso ai contributi.",Per informazioni inerenti i contributi PAC è necessario rivolgersi al Ministero dell’Agricoltura.,1.0,0.6993,,0.0,0.1799,OK,True
Come richiedere l’accesso?,"Per richiedere l'accesso al sistema ClassyFarm, segui questi passaggi:

1. **Invia un'email** all'indirizzo [EMAIL_RIMOSSO].
   
2. **Fornisci le seguenti informazioni** per ciascun utente che desideri abilitare (massimo 3 utenti):
   - Nome
   - Cognome
   - Codice Fiscale
   - Data di nascita
   - Indirizzo email

3. **Allega alla richiesta**:
   - La richiesta su carta intestata, completa dell'elenco degli utenti da abilitare.
   - Una copia del documento d’identità di ciascun utente.

4. **Compila il modulo di richiesta** di accesso, specificando il ruolo desiderato (es. medico veterinario aziendale o Delegato per un singolo/multiple Operatori).

5. **Dichiara di essere consapevole** delle conseguenze penali in caso di dichiarazioni false, come previsto dal D.P.R. 445/2000.

6. **Attendi una conferma** via email che confermerà il codice CSD e l'esito della tua richiesta di abilitazione.

Assicurati di verificare che tutti i dati siano corretti prima di inviare la tua richiesta.",Può inviare un’email generica a info@classyfarm.it indicando l’ASL di appartenenza. Riceverà un’email di risposta con un file Excel da compilare e verrà messo in copia conoscenza il proprio Referente Regionale ClassyFarm.,1.0,0.6403,,0.0,0.1614,EMAIL_MISMATCH,True
Dove trovo gli allevamenti che hanno effettuato l’autocontrollo per il taglio coda?,"Per trovare gli allevamenti che hanno effettuato l’autocontrollo per il taglio coda, puoi seguire questi passaggi utilizzando il sistema integrato ""ClassyFarm"":

1. **Inserisci il codice di allevamento**: Inizia inserendo il codice aziendale dell'allevamento che desideri cercare.

2. **Cerca nel database nazionale**: Clicca sulla lente d’ingrandimento, che funge da funzione di ricerca, per cercare l'allevamento nel database nazionale (BDN).

3. **Seleziona l'allevamento**: Una volta effettuata la ricerca, il sistema restituirà un elenco di allevamenti che corrispondono al codice aziendale inserito. Seleziona l'allevamento desiderato con un clic.

4. **Compila i dati anagrafici**: Il sistema provvederà automaticamente a completare i dati anagrafici dell'allevamento utilizzando le informazioni presenti nel BDN. È importante non inserire il prefisso ""IT"" o eventuali sottocodici.

5. **Compila la check-list**: Procedi con la compilazione della testata del questionario, che è suddivisa in diverse sezioni numerate.

Questi passaggi ti permetteranno di accedere alle informazioni relative agli allevamenti che hanno effettuato l'autocontrollo per il taglio coda.","Entrando in ""Dashboard"" - cruscotto ""Benessere suino aggregato"", sul filtro ""Tipo"" selezionare ""TC"" e poi cliccare sul tasto ""Tabella allev."" è possibile scaricare l’elenco degli allevamenti. Sul sito www.classyfarm.it è disponibile la guida ai Cruscotti Interattivi per avere informazioni più dettagliate.",1.0,0.9223,,0.0,0.1622,OK,True
Come posso scaricare l’elenco degli allevamenti controllati/controllabili?,"Per scaricare l’elenco degli allevamenti controllati/controllabili, puoi seguire questi passaggi:

1. Visita il sito web www.classyfarm.it.
2. Seleziona la voce ""Tabella Allevamenti"" nel menu.
3. Una volta nella sezione, potrai visualizzare l'elenco degli allevamenti. Puoi filtrare i risultati in base alla categoria e alla quota desiderata, come quota regionale, casuale, a rischio e piccole dimensioni.
4. Se necessario, puoi anche filtrare per tipologia di allevamento e anno di riferimento per ottenere informazioni più specifiche.

Non è indicato un metodo di invio via email per ottenere l'elenco, quindi l'accesso diretto al sito è il modo principale per scaricare le informazioni desiderate.","Entrando in ""Dashboard"" - cruscotto ""Rischio programmazione"", selezionando i filtri opportuni e poi cliccando su ""Tabella allev."" è possibile scaricare l’elenco degli allevamenti. Sul sito www.classyfarm.it è disponibile la guida ai Cruscotti Interattivi per avere informazioni più dettagliate.",1.0,0.9803,0.5644,1.0,0.7068,OK,True
Perché non riesco a trovare l’allevamento quando compilo una CL?,"*Gli utenti ufficiali sono autorizzati a effettuare la compilazione per il proprio territorio di competenza. Qualora si inserisca un codice e non venga visualizzato alcun risultato, si prega di contattare l'assistenza inviando un'email a info@classyfarm.it.","Il sistema non può trovare codici BDN associati ad allevamenti chiusi o allevamenti appartenenti a un’ASL differente da quella del veterinario compilatore. Inoltre, per alcune specie (pesci e lagomorfi), se l’allevamento non viene trovato, è necessario compilare i dati anagrafici in modalità manuale contattando l’assistenza.",1.0,0.3736,,0.5,0.1419,OK,True
Dove posso vedere le CL caricate dai colleghi?,"Puoi vedere le checklist compilate dai colleghi direttamente dal cruscotto. Ecco i passaggi da seguire:

1. Accedi al sito: https://www.vetinfo.it/.
2. Clicca su «ACCEDI all’Area riservata» e inserisci le credenziali d'accesso fornite dal Sistema Veterinario Informativo.
3. Una volta effettuato il login, clicca su «Dashboard» per accedere alla consultazione dei cruscotti.
4. Nella sezione ""Dashboard"", potrai visualizzare le checklist compilate in formato tabellare.

Assicurati di controllare anche che i report dei questionari caricati siano disponibili, poiché saranno accessibili solo 48 ore dopo il caricamento.",Al momento è possibile visualizzare le CL compilate dai veterinari della propria ASL nella sezione Dashboard.,0.875,0.6091,0.824,1.0,0.4476,OK,True
È necessario compilare una nuova CL al momento della verifica della prescrizione?,"Sì, è necessario compilare una nuova check-list (CL) al momento della verifica della prescrizione. Durante la verifica, si deve registrare se le prescrizioni sono state eseguite, segnando ""Sì"" o ""No"", e fornire una descrizione della situazione. Inoltre, è fondamentale annotare la data della verifica e i dati del proprietario o operatore presente all'ispezione.

⏰ **Nota Temporale**: 30 giorni","Sì, è necessario compilare una nuova CL per tenere traccia dell’andamento dell’azienda.",0.7143,0.8654,1.0,0.0,0.3186,OK,True
